name,location,price,area_type,area,bhk
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.65 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.61 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.6 Cr,Built-up Area,"1,490 sqft
(138 sqm)","3 BHK
(2 Baths)"
"DLF Express Greens
3.9","3 BHK Flat in Sector 1A IMT Manesar, Gurgaon",₹1.34 Cr,Super Built-up Area,"1,958 sqft
(182 sqm)","3 BHK
(4 Baths)"
"DLF Express Greens
3.9","3 BHK Flat in Sector 1A IMT Manesar, Gurgaon",₹1.4 Cr,Super Built-up Area,"1,957 sqft
(182 sqm)","3 BHK
(4 Baths)"
"DLF Express Greens
3.9","3 BHK Flat in Sector 1A IMT Manesar, Gurgaon",₹1.43 Cr,Super Built-up Area,"1,950 sqft
(181 sqm)","3 BHK
(4 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.68 Cr,Super Built-up Area,"1,503 sqft
(140 sqm)","3 BHK
(3 Baths)"
"Signature The Roselia
3.7","2 BHK Flat in Sector 95A, Gurgaon",₹62.42 Lac,Carpet Area,"569 sqft
(53 sqm)","2 BHK
(2 Baths)"
"Signature The Roselia
3.7","2 BHK Flat in Sector 95A, Gurgaon",₹64.5 Lac,Carpet Area,"569 sqft
(53 sqm)","2 BHK
(2 Baths)"
Greenopolis,"3 BHK Flat in Sector 89, Gurgaon",₹1.55 Cr,Super Built-up Area,"1,957 sqft
(182 sqm)","3 BHK
(4 Baths)"
"Signature The Roselia
3.7","2 BHK Flat in Sector 95A, Gurgaon",₹65 Lac,Carpet Area,"569 sqft
(53 sqm)","2 BHK
(2 Baths)"
M3M Soulitude,"2 BHK Flat in Sector 89, Gurgaon",₹1.45 Cr,Carpet Area,"1,105 sqft
(103 sqm)","2 BHK
(2 Baths)"
"Signature The Roselia
3.7","2 BHK Flat in Sector 95A, Gurgaon",₹62.1 Lac,Carpet Area,"569 sqft
(53 sqm)","2 BHK
(2 Baths)"
"Signature The Roselia
3.7","2 BHK Flat in Sector 95A, Gurgaon",₹61.8 Lac,Carpet Area,"569 sqft
(53 sqm)","2 BHK
(2 Baths)"
M3M Soulitude,"2 BHK Flat in Sector 89, Gurgaon",₹1.35 Cr,Super Built-up Area,"1,194 sqft
(111 sqm)","2 BHK
(2 Baths)"
Smart World Gems,"2 BHK Flat in Sector 89, Gurgaon",₹1.33 Cr,Super Built-up Area,"1,200 sqft
(111 sqm)","2 BHK
(2 Baths)"
Smart World Gems,"2 BHK Flat in Sector 89, Gurgaon",₹1.36 Cr,Super Built-up Area,"1,208 sqft
(112 sqm)","2 BHK
(2 Baths)"
"Signature The Roselia
3.7","2 BHK Flat in Sector 95A, Gurgaon",₹61 Lac,Carpet Area,"514 sqft
(48 sqm)","2 BHK
(2 Baths)"
"Signature The Roselia
3.7","2 BHK Flat in Sector 95A, Gurgaon",₹61 Lac,Carpet Area,"515 sqft
(48 sqm)","2 BHK
(2 Baths)"
"Signature The Roselia
3.7","2 BHK Flat in Sector 95A, Gurgaon",₹61.8 Lac,Carpet Area,"569 sqft
(53 sqm)","2 BHK
(2 Baths)"
M3M Soulitude,"2 BHK Flat in Sector 89, Gurgaon",₹1.38 Cr,Super Built-up Area,"1,208 sqft
(112 sqm)","2 BHK
(2 Baths)"
M3M Soulitude,"2 BHK Flat in Sector 89, Gurgaon",₹1.36 Cr,Super Built-up Area,"1,200 sqft
(111 sqm)","2 BHK
(2 Baths)"
M3M Soulitude,"2 BHK Flat in Sector 89, Gurgaon",₹1.4 Cr,Super Built-up Area,"1,200 sqft
(111 sqm)","2 BHK
(2 Baths)"
"Signature The Roselia
3.7","2 BHK Flat in Sector 95A, Gurgaon",₹63.25 Lac,Carpet Area,"569 sqft
(53 sqm)","2 BHK
(2 Baths)"
"Signature The Roselia
3.7","2 BHK Flat in Sector 95A, Gurgaon",₹62 Lac,Carpet Area,"569 sqft
(53 sqm)","2 BHK
(2 Baths)"
"Signature The Roselia
3.7","2 BHK Flat in Sector 95A, Gurgaon",₹61.65 Lac,Carpet Area,"569 sqft
(53 sqm)","2 BHK
(2 Baths)"
M3M Soulitude,"2 BHK Flat in Sector 89, Gurgaon",₹1.38 Cr,Super Built-up Area,"1,200 sqft
(111 sqm)","2 BHK
(2 Baths)"
M3M Soulitude,"2 BHK Flat in Sector 89, Gurgaon",₹1.31 Cr,Super Built-up Area,"1,194 sqft
(111 sqm)","2 BHK
(2 Baths)"
M3M Soulitude,"2 BHK Flat in Sector 89, Gurgaon",₹1.36 Cr,Super Built-up Area,"1,203 sqft
(112 sqm)","2 BHK
(2 Baths)"
"Signature The Roselia
3.7","2 BHK Flat in Sector 95A, Gurgaon",₹61.6 Lac,Carpet Area,"569 sqft
(53 sqm)","2 BHK
(2 Baths)"
"Signature The Roselia
3.7","2 BHK Flat in Sector 95A, Gurgaon",₹63.5 Lac,Carpet Area,"514 sqft
(48 sqm)","2 BHK
(2 Baths)"
"Signature The Roselia
3.7","2 BHK Flat in Sector 95A, Gurgaon",₹61.85 Lac,Carpet Area,"569 sqft
(53 sqm)","2 BHK
(2 Baths)"
M3M Soulitude,"2 BHK Flat in Sector 89, Gurgaon",₹1.37 Cr,Carpet Area,"1,196 sqft
(111 sqm)","2 BHK
(2 Baths)"
M3M Soulitude,"2 BHK Flat in Sector 89, Gurgaon",₹1.35 Cr,Super Built-up Area,"1,196 sqft
(111 sqm)","2 BHK
(2 Baths)"
M3M Soulitude,"2 BHK Flat in Sector 89, Gurgaon",₹1.35 Cr,Super Built-up Area,"1,194 sqft
(111 sqm)","2 BHK
(2 Baths)"
,,,,,
"Signature The Roselia
3.7","2 BHK Flat in Sector 95A, Gurgaon",₹62.65 Lac,Carpet Area,"569 sqft
(53 sqm)","2 BHK
(2 Baths)"
"Signature The Roselia
3.7","2 BHK Flat in Sector 95A, Gurgaon",₹64 Lac,Carpet Area,"569 sqft
(53 sqm)","2 BHK
(2 Baths)"
"Signature The Roselia
3.7","2 BHK Flat in Sector 95A, Gurgaon",₹64.6 Lac,Carpet Area,"569 sqft
(53 sqm)","2 BHK
(2 Baths)"
M3M Soulitude,"2 BHK Flat in Sector 89, Gurgaon",₹1.35 Cr,Carpet Area,"1,196 sqft
(111 sqm)","2 BHK
(2 Baths)"
M3M Soulitude,"2 BHK Flat in Sector 89, Gurgaon",₹1.38 Cr,Super Built-up Area,"1,196 sqft
(111 sqm)","2 BHK
(2 Baths)"
Smart World Gems,"2 BHK Flat in Sector 89, Gurgaon",₹1.38 Cr,Super Built-up Area,"1,208 sqft
(112 sqm)","2 BHK
(2 Baths)"
